,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
3373,"596,000","594,900","598,300","597,500",3600,0.61%,2024-09-10,1403/06/20,Tuesday,سه‌شنبه
3374,"594,900","593,200","596,100","593,900",3500,0.59%,2024-09-13,1403/06/23,Friday,جمعه
3375,"594,250","589,200","594,700","590,400",600,0.1%,2024-09-14,1403/06/24,Saturday,شنبه
3376,"591,050","588,500","593,800","591,000",4150,0.7%,2024-09-15,1403/06/25,Sunday,یکشنبه
3377,"591,900","590,800","596,200","595,150",2800,0.47%,2024-09-16,1403/06/26,Monday,دوشنبه
3378,"595,100","592,200","597,550","592,350",50,0.01%,2024-09-17,1403/06/27,Tuesday,سه‌شنبه
3379,"591,450","590,500","592,500","592,300",3200,0.54%,2024-09-18,1403/06/28,Wednesday,چهارشنبه
3380,"592,500","590,900","595,800","595,500",2300,0.39%,2024-09-21,1403/06/31,Saturday,شنبه
3381,"595,250","593,800","597,800","597,800",7050,1.18%,2024-09-22,1403/07/01,Sunday,یکشنبه
3382,"598,400","598,200","606,500","604,850",7700,1.29%,2024-09-23,1403/07/02,Monday,دوشنبه
3383,"603,150","596,500","603,400","597,150",3150,0.53%,2024-09-24,1403/07/03,Tuesday,سه‌شنبه
3384,"602,500","599,300","604,800","600,300",6700,1.12%,2024-09-25,1403/07/04,Wednesday,چهارشنبه
3385,"598,050","597,800","615,300","607,000",900,0.15%,2024-09-27,1403/07/06,Friday,جمعه
3386,"609,450","601,300","609,700","606,100",2350,0.39%,2024-09-28,1403/07/07,Saturday,شنبه
3387,"606,200","602,200","606,600","603,750",11200,1.86%,2024-09-29,1403/07/08,Sunday,یکشنبه
3388,"605,800","605,200","615,400","614,950",7600,1.24%,2024-09-30,1403/07/09,Monday,دوشنبه
3389,"619,850","611,700","622,800","622,550",4350,0.7%,2024-10-01,1403/07/10,Tuesday,سه‌شنبه
3390,"621,300","620,900","631,300","626,900",3000,0.48%,2024-10-02,1403/07/11,Wednesday,چهارشنبه
3391,"615,850","614,300","624,800","623,900",10650,1.71%,2024-10-04,1403/07/13,Friday,جمعه
3392,"624,350","624,200","634,800","634,550",6100,0.97%,2024-10-05,1403/07/14,Saturday,شنبه
3393,"634,600","626,700","634,800","628,450",3000,0.48%,2024-10-06,1403/07/15,Sunday,یکشنبه
3394,"627,650","625,000","628,300","625,450",3900,0.62%,2024-10-07,1403/07/16,Monday,دوشنبه
3395,"624,800","624,200","629,800","629,350",6150,0.98%,2024-10-08,1403/07/17,Tuesday,سه‌شنبه
3396,"628,900","628,700","636,300","635,500",10550,1.69%,2024-10-09,1403/07/18,Wednesday,چهارشنبه
3397,"631,100","624,700","631,300","624,950",3500,0.56%,2024-10-11,1403/07/20,Friday,جمعه
3398,"624,750","624,700","630,600","628,450",3050,0.49%,2024-10-12,1403/07/21,Saturday,شنبه
3399,"628,050","628,000","634,800","631,500",3850,0.61%,2024-10-13,1403/07/22,Sunday,یکشنبه
3400,"630,350","626,100","630,800","627,650",5700,0.91%,2024-10-14,1403/07/23,Monday,دوشنبه
3401,"626,850","626,800","638,200","633,350",3250,0.51%,2024-10-15,1403/07/24,Tuesday,سه‌شنبه
3402,"633,500","633,300","638,800","636,600",3000,0.47%,2024-10-16,1403/07/25,Wednesday,چهارشنبه
3403,"633,850","633,600","640,000","639,600",2350,0.37%,2024-10-18,1403/07/27,Friday,جمعه
3404,"637,950","637,900","645,950","641,950",6600,1.03%,2024-10-19,1403/07/28,Saturday,شنبه
3405,"642,050","641,600","648,600","648,550",12950,2%,2024-10-20,1403/07/29,Sunday,یکشنبه
3406,"648,850","648,350","661,600","661,500",15800,2.39%,2024-10-21,1403/07/30,Monday,دوشنبه
3407,"663,150","663,000","684,800","677,300",2200,0.32%,2024-10-22,1403/08/01,Tuesday,سه‌شنبه
3408,"676,750","674,900","685,300","679,500",24200,3.69%,2024-10-23,1403/08/02,Wednesday,چهارشنبه
3409,"658,950","652,800","679,000","655,300",5550,0.85%,2024-10-25,1403/08/04,Friday,جمعه
3410,"654,700","654,350","667,300","660,850",13950,2.11%,2024-10-26,1403/08/05,Saturday,شنبه
3411,"660,550","660,200","674,800","674,800",9200,1.36%,2024-10-27,1403/08/06,Sunday,یکشنبه
3412,"673,800","673,200","689,250","684,000",8400,1.23%,2024-10-28,1403/08/07,Monday,دوشنبه
3413,"683,750","680,200","697,800","692,400",10100,1.48%,2024-10-29,1403/08/08,Tuesday,سه‌شنبه
3414,"687,500","680,200","687,600","682,300",12500,1.83%,2024-10-30,1403/08/09,Wednesday,چهارشنبه
3415,"683,650","683,200","695,300","694,800",1550,0.22%,2024-11-01,1403/08/11,Friday,جمعه
3416,"694,500","689,700","701,500","693,250",3650,0.53%,2024-11-02,1403/08/12,Saturday,شنبه
3417,"694,200","686,700","694,300","689,600",700,0.1%,2024-11-03,1403/08/13,Sunday,یکشنبه
3418,"689,400","683,200","689,800","688,900",7350,1.07%,2024-11-04,1403/08/14,Monday,دوشنبه
3419,"698,550","694,000","698,800","696,250",5800,0.84%,2024-11-05,1403/08/15,Tuesday,سه‌شنبه
3420,"696,100","686,700","696,300","690,450",1750,0.25%,2024-11-06,1403/08/16,Wednesday,چهارشنبه
3421,"695,400","692,000","695,700","692,200",9550,1.4%,2024-11-08,1403/08/18,Friday,جمعه
3422,"691,800","682,200","692,800","682,650",13450,2.01%,2024-11-09,1403/08/19,Saturday,شنبه
3423,"682,300","669,200","682,500","669,200",9000,1.34%,2024-11-10,1403/08/20,Sunday,یکشنبه
3424,"668,800","668,700","681,300","678,200",6200,0.91%,2024-11-11,1403/08/21,Monday,دوشنبه
3425,"679,450","679,200","688,800","684,400",1100,0.16%,2024-11-12,1403/08/22,Tuesday,سه‌شنبه
3426,"682,300","677,700","683,800","683,300",900,0.13%,2024-11-13,1403/08/23,Wednesday,چهارشنبه
3427,"683,750","680,200","685,800","682,400",650,0.1%,2024-11-15,1403/08/25,Friday,جمعه
3428,"682,200","681,250","688,800","681,750",2700,0.4%,2024-11-16,1403/08/26,Saturday,شنبه
3429,"680,950","680,700","684,700","684,450",4600,0.67%,2024-11-17,1403/08/27,Sunday,یکشنبه
3430,"683,850","682,700","689,800","689,050",250,0.04%,2024-11-18,1403/08/28,Monday,دوشنبه
3431,"690,250","688,700","695,300","689,300",2950,0.43%,2024-11-19,1403/08/29,Tuesday,سه‌شنبه
3432,"689,900","689,500","694,800","692,250",6800,0.98%,2024-11-20,1403/08/30,Wednesday,چهارشنبه
3433,"697,400","697,200","703,300","699,050",9450,1.37%,2024-11-22,1403/09/02,Friday,جمعه
3434,"698,000","686,800","700,800","689,600",4100,0.59%,2024-11-23,1403/09/03,Saturday,شنبه
3435,"687,400","679,800","694,700","693,700",2250,0.32%,2024-11-24,1403/09/04,Sunday,یکشنبه
3436,"693,350","693,300","699,700","695,950",3100,0.45%,2024-11-25,1403/09/05,Monday,دوشنبه
3437,"695,750","695,600","699,700","699,050",2350,0.34%,2024-11-26,1403/09/06,Tuesday,سه‌شنبه
3438,"699,300","698,800","701,700","701,400",2600,0.37%,2024-11-27,1403/09/07,Wednesday,چهارشنبه
3439,"704,950","699,800","709,200","704,000",5000,0.72%,2024-11-29,1403/09/09,Friday,جمعه
3440,"702,950","697,900","705,400","699,000",5150,0.74%,2024-11-30,1403/09/10,Saturday,شنبه
3441,"699,550","699,400","707,200","704,150",6800,0.97%,2024-12-01,1403/09/11,Sunday,یکشنبه
3442,"704,800","704,500","711,200","710,950",3850,0.54%,2024-12-02,1403/09/12,Monday,دوشنبه
3443,"712,200","710,800","715,200","714,800",800,0.11%,2024-12-03,1403/09/13,Tuesday,سه‌شنبه
3444,"712,650","711,500","716,200","715,600",3600,0.5%,2024-12-06,1403/09/16,Friday,جمعه
3445,"715,350","714,600","721,700","719,200",350,0.05%,2024-12-07,1403/09/17,Saturday,شنبه
3446,"718,400","717,800","722,700","718,850",4350,0.61%,2024-12-08,1403/09/18,Sunday,یکشنبه
3447,"718,800","718,800","724,200","723,200",8750,1.21%,2024-12-09,1403/09/19,Monday,دوشنبه
3448,"723,650","723,300","732,700","731,950",2350,0.32%,2024-12-10,1403/09/20,Tuesday,سه‌شنبه
3449,"732,450","727,800","734,700","729,600",17550,2.41%,2024-12-11,1403/09/21,Wednesday,چهارشنبه
3450,"736,600","727,572","748,200","747,150",50,0.01%,2024-12-13,1403/09/23,Friday,جمعه
3451,"748,550","745,800","756,600","747,100",12400,1.66%,2024-12-14,1403/09/24,Saturday,شنبه
3452,"745,950","745,800","759,700","759,500",6800,0.9%,2024-12-15,1403/09/25,Sunday,یکشنبه
3453,"765,550","763,300","768,700","766,300",7350,0.96%,2024-12-16,1403/09/26,Monday,دوشنبه
3454,"767,200","766,800","775,700","773,650",6100,0.79%,2024-12-17,1403/09/27,Tuesday,سه‌شنبه
3455,"771,600","766,800","772,700","767,550",5150,0.68%,2024-12-18,1403/09/28,Wednesday,چهارشنبه
3456,"766,900","761,800","768,700","762,400",400,0.05%,2024-12-20,1403/09/30,Friday,جمعه
3457,"761,600","753,300","763,100","762,800",16000,2.1%,2024-12-21,1403/10/01,Saturday,شنبه
3458,"762,200","760,900","781,700","778,800",7800,1%,2024-12-22,1403/10/02,Sunday,یکشنبه
3459,"779,700","779,300","787,700","786,600",650,0.08%,2024-12-23,1403/10/03,Monday,دوشنبه
3460,"785,200","777,800","787,700","785,950",7900,1.01%,2024-12-24,1403/10/04,Tuesday,سه‌شنبه
3461,"784,850","776,800","794,700","793,850",16750,2.11%,2024-12-25,1403/10/05,Wednesday,چهارشنبه
3462,"799,350","799,350","811,200","810,600",13450,1.69%,2024-12-27,1403/10/07,Friday,جمعه
3463,"811,550","793,300","814,700","797,150",16050,2.01%,2024-12-28,1403/10/08,Saturday,شنبه
3464,"796,350","794,850","813,200","813,200",150,0.02%,2024-12-29,1403/10/09,Sunday,یکشنبه
3465,"816,300","807,300","816,700","813,050",750,0.09%,2024-12-30,1403/10/10,Monday,دوشنبه
3466,"813,200","810,100","814,700","812,300",5950,0.74%,2024-12-31,1403/10/11,Tuesday,سه‌شنبه
3467,"812,950","805,100","813,200","806,350",8000,1%,2025-01-01,1403/10/12,Wednesday,چهارشنبه
3468,"799,600","792,300","799,700","798,350",2900,0.36%,2025-01-03,1403/10/14,Friday,جمعه
3469,"799,600","794,700","801,200","795,450",2000,0.25%,2025-01-04,1403/10/15,Saturday,شنبه
3470,"794,200","789,800","794,200","793,450",7350,0.93%,2025-01-05,1403/10/16,Sunday,یکشنبه
3471,"798,100","795,300","803,700","800,800",3300,0.41%,2025-01-06,1403/10/17,Monday,دوشنبه
3472,"799,000","797,800","806,200","804,100",9800,1.22%,2025-01-07,1403/10/18,Tuesday,سه‌شنبه
3473,"803,300","803,300","815,200","813,900",5600,0.69%,2025-01-08,1403/10/19,Wednesday,چهارشنبه
3474,"818,300","818,300","821,200","819,500",12850,1.59%,2025-01-10,1403/10/21,Friday,جمعه
3475,"817,650","805,800","817,700","806,650",7950,0.99%,2025-01-11,1403/10/22,Saturday,شنبه
3476,"806,400","806,300","816,200","814,600",9750,1.21%,2025-01-12,1403/10/23,Sunday,یکشنبه
3477,"813,650","804,800","813,700","804,850",4150,0.52%,2025-01-14,1403/10/25,Tuesday,سه‌شنبه
3478,"803,350","799,300","803,700","800,700",4600,0.57%,2025-01-15,1403/10/26,Wednesday,چهارشنبه
3479,"796,100","795,800","805,700","805,300",1400,0.17%,2025-01-17,1403/10/28,Friday,جمعه
3480,"806,350","806,300","809,200","806,700",3500,0.43%,2025-01-18,1403/10/29,Saturday,شنبه
3481,"806,400","806,300","812,200","810,200",13150,1.62%,2025-01-19,1403/10/30,Sunday,یکشنبه
3482,"808,800","808,800","823,700","823,350",2350,0.29%,2025-01-20,1403/11/01,Monday,دوشنبه
3483,"823,900","822,800","828,200","825,700",13350,1.62%,2025-01-21,1403/11/02,Tuesday,سه‌شنبه
3484,"824,800","824,800","839,200","839,050",5150,0.62%,2025-01-22,1403/11/03,Wednesday,چهارشنبه
3485,"829,400","829,300","835,700","833,900",4900,0.59%,2025-01-24,1403/11/05,Friday,جمعه
3486,"835,850","835,300","839,700","838,800",500,0.06%,2025-01-25,1403/11/06,Saturday,شنبه
3487,"837,400","835,300","841,200","839,300",7000,0.84%,2025-01-26,1403/11/07,Sunday,یکشنبه
3488,"836,400","830,600","837,700","832,300",2800,0.34%,2025-01-28,1403/11/09,Tuesday,سه‌شنبه
3489,"832,100","830,600","835,700","835,100",2550,0.31%,2025-01-29,1403/11/10,Wednesday,چهارشنبه
3490,"834,700","834,300","838,200","837,650",2850,0.34%,2025-01-31,1403/11/12,Friday,جمعه
3491,"838,950","838,600","845,200","840,500",1850,0.22%,2025-02-01,1403/11/13,Saturday,شنبه
3492,"840,200","836,300","844,200","838,650",7300,0.87%,2025-02-02,1403/11/14,Sunday,یکشنبه
3493,"838,200","837,800","846,200","845,950",6750,0.8%,2025-02-03,1403/11/15,Monday,دوشنبه
3494,"845,500","845,300","854,200","852,700",1900,0.22%,2025-02-04,1403/11/16,Tuesday,سه‌شنبه
3495,"851,800","851,800","855,700","854,600",35000,4.1%,2025-02-05,1403/11/17,Wednesday,چهارشنبه
3496,"877,600","874,300","890,700","889,600",24050,2.7%,2025-02-07,1403/11/19,Friday,جمعه
3497,"888,400","888,300","913,700","913,650",32150,3.65%,2025-02-08,1403/11/20,Saturday,شنبه
3498,"916,650","869,800","916,700","881,500",2000,0.23%,2025-02-10,1403/11/22,Monday,دوشنبه
3499,"885,700","874,300","885,700","883,500",7100,0.8%,2025-02-11,1403/11/23,Tuesday,سه‌شنبه
3500,"884,200","883,800","890,700","890,600",15550,1.75%,2025-02-12,1403/11/24,Wednesday,چهارشنبه
3501,"903,550","902,300","909,700","906,150",900,0.1%,2025-02-14,1403/11/26,Friday,جمعه
3502,"907,350","896,800","912,200","907,050",1150,0.13%,2025-02-15,1403/11/27,Saturday,شنبه
3503,"906,900","906,850","912,200","908,200",11750,1.29%,2025-02-16,1403/11/28,Sunday,یکشنبه
3504,"908,600","908,300","920,200","919,950",1750,0.19%,2025-02-17,1403/11/29,Monday,دوشنبه
3505,"918,700","918,300","928,700","921,700",9000,0.98%,2025-02-18,1403/11/30,Tuesday,سه‌شنبه
3506,"921,350","921,300","932,700","930,700",5100,0.55%,2025-02-19,1403/12/01,Wednesday,چهارشنبه
3507,"930,000","929,600","943,700","935,800",8400,0.91%,2025-02-21,1403/12/03,Friday,جمعه
3508,"930,850","922,300","933,700","927,400",14250,1.56%,2025-02-22,1403/12/04,Saturday,شنبه
3509,"926,150","912,300","928,700","913,150",5150,0.56%,2025-02-23,1403/12/05,Sunday,یکشنبه
3510,"913,200","906,800","919,700","918,300",7650,0.83%,2025-02-24,1403/12/06,Monday,دوشنبه
3511,"920,550","920,300","934,200","925,950",750,0.08%,2025-02-25,1403/12/07,Tuesday,سه‌شنبه
3512,"924,150","923,800","929,200","925,200",3600,0.39%,2025-02-26,1403/12/08,Wednesday,چهارشنبه
3513,"922,300","916,800","925,200","921,600",700,0.08%,2025-02-28,1403/12/10,Friday,جمعه
3514,"921,150","914,800","927,700","922,300",14950,1.65%,2025-03-01,1403/12/11,Saturday,شنبه
3515,"920,400","906,800","921,700","907,350",2550,0.28%,2025-03-02,1403/12/12,Sunday,یکشنبه
3516,"907,400","904,800","911,700","904,800",19900,2.25%,2025-03-03,1403/12/13,Monday,دوشنبه
3517,"904,300","884,800","904,700","884,900",6800,0.77%,2025-03-04,1403/12/14,Tuesday,سه‌شنبه
3518,"883,850","882,300","896,700","891,700",20500,2.3%,2025-03-05,1403/12/15,Wednesday,چهارشنبه
3519,"896,900","896,900","923,200","912,200",9900,1.09%,2025-03-07,1403/12/17,Friday,جمعه
3520,"912,450","912,300","923,700","922,100",1750,0.19%,2025-03-08,1403/12/18,Saturday,شنبه
3521,"934,650","919,800","935,200","923,850",1000,0.11%,2025-03-09,1403/12/19,Sunday,یکشنبه
3522,"924,000","922,300","929,200","922,850",3950,0.43%,2025-03-10,1403/12/20,Monday,دوشنبه
3523,"926,350","923,300","927,700","926,800",3750,0.41%,2025-03-11,1403/12/21,Tuesday,سه‌شنبه
3524,"926,650","922,400","929,700","923,050",11700,1.28%,2025-03-12,1403/12/22,Wednesday,چهارشنبه
3525,"918,650","906,300","918,700","911,350",19950,2.19%,2025-03-14,1403/12/24,Friday,جمعه
3526,"912,900","912,800","931,700","931,300",11900,1.28%,2025-03-15,1403/12/25,Saturday,شنبه
3527,"933,550","933,300","944,700","943,200",34600,3.67%,2025-03-16,1403/12/26,Sunday,یکشنبه
3528,"973,900","967,800","982,200","977,800",40050,4.1%,2025-03-17,1403/12/27,Monday,دوشنبه
3529,"976,550","976,300","1,037,200","1,017,850",1350,0.13%,2025-03-24,1404/01/04,Monday,دوشنبه
3530,"1,018,900","1,006,800","1,022,200","1,019,200",2700,0.26%,2025-03-25,1404/01/05,Tuesday,سه‌شنبه
3531,"1,018,850","1,018,800","1,024,200","1,021,900",17050,1.67%,2025-03-26,1404/01/06,Wednesday,چهارشنبه
3532,"1,036,950","1,036,800","1,042,200","1,038,950",11150,1.08%,2025-03-28,1404/01/08,Friday,جمعه
3533,"1,038,850","1,027,800","1,039,200","1,027,800",2150,0.21%,2025-03-29,1404/01/09,Saturday,شنبه
3534,"1,032,900","1,025,300","1,032,900","1,025,650",19550,1.91%,2025-04-04,1404/01/15,Friday,جمعه
3535,"1,028,200","1,027,800","1,045,200","1,045,200",10350,0.99%,2025-04-05,1404/01/16,Saturday,شنبه
3536,"1,045,350","1,045,300","1,057,700","1,055,550",57600,5.77%,2025-04-06,1404/01/17,Sunday,یکشنبه
3537,"1,058,100","984,800","1,058,200","997,950",1750,0.18%,2025-04-07,1404/01/18,Monday,دوشنبه
3538,"998,800","998,300","1,006,700","999,700",9200,0.92%,2025-04-08,1404/01/19,Tuesday,سه‌شنبه
3539,"999,100","998,800","1,021,200","1,008,900",46750,4.86%,2025-04-09,1404/01/20,Wednesday,چهارشنبه
3540,"994,200","954,800","994,200","962,150",102250,11.89%,2025-04-11,1404/01/22,Friday,جمعه
3541,"897,950","829,800","904,200","859,900",20900,2.43%,2025-04-12,1404/01/23,Saturday,شنبه
3542,"850,150","849,800","898,200","880,800",1000,0.11%,2025-04-13,1404/01/24,Sunday,یکشنبه
