,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
1678,"209,470","209,470","222,010","220,510",9510,4.31%,2020-08-09,1399/05/19,Sunday,یکشنبه
1679,"230,020","230,020","230,020","230,020",6580,2.86%,2020-08-06,1399/05/16,Thursday,پنج‌شنبه
1680,"234,900","234,870","237,210","236,600",1690,0.72%,2020-08-05,1399/05/15,Wednesday,چهارشنبه
1681,"232,780","232,770","235,410","234,910",2100,0.9%,2020-08-04,1399/05/14,Tuesday,سه‌شنبه
1682,"232,100","232,070","233,410","232,810",100,0.04%,2020-08-03,1399/05/13,Monday,دوشنبه
1683,"232,210","231,870","233,610","232,710",510,0.22%,2020-08-02,1399/05/12,Sunday,یکشنبه
1684,"229,980","225,270","232,710","232,200",24180,11.62%,2020-08-01,1399/05/11,Saturday,شنبه
1685,"208,020","208,020","208,020","208,020",27450,13.2%,2020-07-30,1399/05/09,Thursday,پنج‌شنبه
1686,"234,270","234,270","235,510","235,470",1160,0.5%,2020-07-29,1399/05/08,Wednesday,چهارشنبه
1687,"234,470","232,770","235,910","234,310",190,0.08%,2020-07-28,1399/05/07,Tuesday,سه‌شنبه
1688,"233,480","231,970","236,210","234,500",1000,0.43%,2020-07-27,1399/05/06,Monday,دوشنبه
1689,"232,980","229,970","235,010","233,500",2530,1.1%,2020-07-26,1399/05/05,Sunday,یکشنبه
1690,"237,470","225,970","242,010","230,970",28060,13.83%,2020-07-25,1399/05/04,Saturday,شنبه
1691,"202,910","202,910","202,910","202,910",15470,7.62%,2020-07-23,1399/05/02,Thursday,پنج‌شنبه
1692,"220,580","216,970","221,010","218,380",380,0.17%,2020-07-22,1399/05/01,Wednesday,چهارشنبه
1693,"219,000","216,970","223,510","218,000",1010,0.46%,2020-07-21,1399/04/31,Tuesday,سه‌شنبه
1694,"213,200","209,970","219,010","219,010",9990,4.56%,2020-07-20,1399/04/30,Monday,دوشنبه
1695,"247,810","223,970","247,810","229,000",16480,7.2%,2020-07-19,1399/04/29,Sunday,یکشنبه
1696,"259,570","243,770","260,010","245,480",14460,6.26%,2020-07-18,1399/04/28,Saturday,شنبه
1697,"231,020","231,020","231,020","231,020",10350,4.48%,2020-07-16,1399/04/26,Thursday,پنج‌شنبه
1698,"238,780","238,770","241,810","241,370",2400,1%,2020-07-15,1399/04/25,Wednesday,چهارشنبه
1699,"236,310","236,270","239,610","238,970",2670,1.13%,2020-07-14,1399/04/24,Tuesday,سه‌شنبه
1700,"233,910","229,970","238,010","236,300",2020,0.86%,2020-07-13,1399/04/23,Monday,دوشنبه
1701,"230,010","229,670","234,410","234,280",7270,3.2%,2020-07-12,1399/04/22,Sunday,یکشنبه
1702,"227,380","226,370","228,510","227,010",1330,0.59%,2020-07-11,1399/04/21,Saturday,شنبه
1703,"224,190","222,620","229,420","225,680",980,0.44%,2020-07-08,1399/04/18,Wednesday,چهارشنبه
1704,"224,810","223,370","225,710","224,700",3720,1.68%,2020-07-07,1399/04/17,Tuesday,سه‌شنبه
1705,"218,000","216,770","221,310","220,980",3170,1.46%,2020-07-06,1399/04/16,Monday,دوشنبه
1706,"221,480","213,970","221,710","217,810",5200,2.39%,2020-07-05,1399/04/15,Sunday,یکشنبه
1707,"211,970","211,970","223,510","223,010",14610,7.01%,2020-07-04,1399/04/14,Saturday,شنبه
1708,"206,560","203,540","212,750","208,400",600,0.29%,2020-07-01,1399/04/11,Wednesday,چهارشنبه
1709,"202,570","200,570","205,910","205,770",470,0.23%,2020-06-30,1399/04/10,Tuesday,سه‌شنبه
1710,"203,480","202,870","206,010","205,300",3100,1.53%,2020-06-29,1399/04/09,Monday,دوشنبه
