,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
79,"2,120,157","2,120,157","2,124,431","2,123,491",3338,0.16%,2024-01-23,1402/11/03,Tuesday,سه‌شنبه
80,"2,124,136","2,124,136","2,128,098","2,126,829",1198,0.06%,2024-01-26,1402/11/06,Friday,جمعه
81,"2,127,373","2,127,351","2,128,207","2,128,027",7759,0.37%,2024-01-27,1402/11/07,Saturday,شنبه
82,"2,127,626","2,120,096","2,127,626","2,120,268",9929,0.47%,2024-01-28,1402/11/08,Sunday,یکشنبه
83,"2,120,296","2,110,335","2,120,296","2,110,339",3067,0.15%,2024-01-29,1402/11/09,Monday,دوشنبه
84,"2,110,327","2,105,844","2,110,327","2,107,272",-,-,2024-01-30,1402/11/10,Tuesday,سه‌شنبه
85,"2,107,412","2,107,412","2,114,232","2,111,083",10910,0.52%,2024-02-02,1402/11/13,Friday,جمعه
86,"2,111,539","2,100,173","2,111,539","2,100,173",1701,0.08%,2024-02-03,1402/11/14,Saturday,شنبه
87,"2,098,748","2,098,316","2,099,632","2,098,472",1225,0.06%,2024-02-04,1402/11/15,Sunday,یکشنبه
88,"2,097,540","2,097,051","2,098,120","2,098,022",2082,0.1%,2024-02-06,1402/11/17,Tuesday,سه‌شنبه
89,"2,098,026","2,098,026","2,100,869","2,100,104",8206,0.39%,2024-02-09,1402/11/20,Friday,جمعه
90,"2,091,896","2,091,895","2,091,898","2,091,898",1590,0.08%,2024-02-11,1402/11/22,Sunday,یکشنبه
91,"2,093,455","2,090,299","2,094,567","2,090,308",11763,0.57%,2024-02-12,1402/11/23,Monday,دوشنبه
92,"2,090,317","2,078,526","2,090,317","2,078,545",18525,0.9%,2024-02-13,1402/11/24,Tuesday,سه‌شنبه
93,"2,078,540","2,060,020","2,091,898","2,060,020",4561,0.22%,2024-02-16,1402/11/27,Friday,جمعه
94,"2,059,995","2,059,558","2,064,743","2,064,581",6214,0.3%,2024-02-18,1402/11/29,Sunday,یکشنبه
95,"2,070,775","2,070,760","2,070,925","2,070,887",71,-,2024-02-19,1402/11/30,Monday,دوشنبه
96,"2,070,816","2,070,816","2,070,816","2,070,816",4679,0.23%,2024-02-21,1402/12/02,Wednesday,چهارشنبه
97,"2,071,434","2,065,964","2,071,565","2,066,137",16353,0.8%,2024-02-23,1402/12/04,Friday,جمعه
98,"2,066,168","2,049,419","2,066,168","2,049,784",3768,0.18%,2024-02-25,1402/12/06,Sunday,یکشنبه
99,"2,049,760","2,045,625","2,049,760","2,046,016",8811,0.43%,2024-02-26,1402/12/07,Monday,دوشنبه
100,"2,046,943","2,046,943","2,055,587","2,054,827",31714,1.54%,2024-02-27,1402/12/08,Tuesday,سه‌شنبه
101,"2,055,601","2,055,601","2,086,798","2,086,541",60547,2.9%,2024-03-01,1402/12/11,Friday,جمعه
102,"2,103,791","2,103,791","2,148,086","2,147,088",6924,0.32%,2024-03-02,1402/12/12,Saturday,شنبه
103,"2,149,108","2,140,164","2,150,823","2,140,164",32063,1.5%,2024-03-03,1402/12/13,Sunday,یکشنبه
104,"2,172,822","2,165,738","2,173,799","2,165,752",2002,0.09%,2024-03-05,1402/12/15,Tuesday,سه‌شنبه
105,"2,167,269","2,163,750","2,170,036","2,163,750",3526,0.16%,2024-03-08,1402/12/18,Friday,جمعه
106,"2,163,962","2,160,224","2,163,962","2,160,224",1339,0.06%,2024-03-09,1402/12/19,Saturday,شنبه
107,"2,159,903","2,159,545","2,162,674","2,161,563",1937,0.09%,2024-03-10,1402/12/20,Sunday,یکشنبه
108,"2,163,497","2,163,478","2,169,399","2,163,500",13465,0.63%,2024-03-11,1402/12/21,Monday,دوشنبه
109,"2,164,003","2,150,021","2,164,003","2,150,035",1541,0.07%,2024-03-12,1402/12/22,Tuesday,سه‌شنبه
110,"2,153,129","2,148,485","2,156,185","2,148,494",11912,0.55%,2024-03-15,1402/12/25,Friday,جمعه
111,"2,149,427","2,149,427","2,160,486","2,160,406",34686,1.61%,2024-03-16,1402/12/26,Saturday,شنبه
112,"2,161,145","2,161,145","2,195,092","2,195,092",41257,1.88%,2024-03-17,1402/12/27,Sunday,یکشنبه
113,"2,204,522","2,204,522","2,236,360","2,236,349",17253,0.77%,2024-03-23,1403/01/04,Saturday,شنبه
114,"2,240,768","2,240,768","2,254,685","2,253,602",4176,0.19%,2024-03-24,1403/01/05,Sunday,یکشنبه
115,"2,253,549","2,248,821","2,253,549","2,249,426",11960,0.53%,2024-03-25,1403/01/06,Monday,دوشنبه
116,"2,250,287","2,250,287","2,261,399","2,261,386",214,0.01%,2024-03-26,1403/01/07,Tuesday,سه‌شنبه
117,"2,261,589","2,259,463","2,261,589","2,261,172",15907,0.71%,2024-03-29,1403/01/10,Friday,جمعه
118,"2,246,118","2,238,688","2,246,118","2,245,265",5642,0.25%,2024-04-01,1403/01/13,Monday,دوشنبه
119,"2,245,893","2,245,893","2,255,608","2,250,907",19885,0.89%,2024-04-02,1403/01/14,Tuesday,سه‌شنبه
120,"2,251,694","2,230,996","2,254,698","2,231,022",3903,0.17%,2024-04-05,1403/01/17,Friday,جمعه
121,"2,234,322","2,233,998","2,236,797","2,234,925",19928,0.89%,2024-04-06,1403/01/18,Saturday,شنبه
122,"2,237,175","2,237,175","2,254,853","2,254,853",7046,0.31%,2024-04-07,1403/01/19,Sunday,یکشنبه
123,"2,255,207","2,254,846","2,261,900","2,261,899",53929,2.44%,2024-04-08,1403/01/20,Monday,دوشنبه
124,"2,256,374","2,207,970","2,256,374","2,207,970",11203,0.51%,2024-04-12,1403/01/24,Friday,جمعه
125,"2,204,128","2,196,767","2,204,128","2,196,767",10140,0.46%,2024-04-13,1403/01/25,Saturday,شنبه
126,"2,198,983","2,198,983","2,206,907","2,206,907",4926,0.22%,2024-04-14,1403/01/26,Sunday,یکشنبه
127,"2,207,356","2,201,172","2,207,356","2,201,981",6233,0.28%,2024-04-15,1403/01/27,Monday,دوشنبه
128,"2,208,214","2,208,214","2,208,214","2,208,214",-,-,2024-04-16,1403/01/28,Tuesday,سه‌شنبه
129,"2,208,214","2,208,214","2,208,214","2,208,214",104777,4.74%,2024-04-17,1403/01/29,Wednesday,چهارشنبه
130,"2,312,991","2,312,991","2,312,991","2,312,991",3812,0.16%,2024-04-20,1403/02/01,Saturday,شنبه
131,"2,316,740","2,316,737","2,316,803","2,316,803",13425,0.58%,2024-04-21,1403/02/02,Sunday,یکشنبه
132,"2,316,753","2,303,378","2,316,753","2,303,378",947,0.04%,2024-04-22,1403/02/03,Monday,دوشنبه
133,"2,303,859","2,303,859","2,307,554","2,304,325",653,0.03%,2024-04-23,1403/02/04,Tuesday,سه‌شنبه
134,"2,307,191","2,304,978","2,312,661","2,304,978",20145,0.88%,2024-04-26,1403/02/07,Friday,جمعه
135,"2,304,603","2,284,833","2,304,603","2,284,833",3762,0.16%,2024-04-27,1403/02/08,Saturday,شنبه
136,"2,285,422","2,281,058","2,288,020","2,281,071",12245,0.54%,2024-04-28,1403/02/09,Sunday,یکشنبه
137,"2,281,648","2,268,826","2,281,648","2,268,826",3909,0.17%,2024-04-29,1403/02/10,Monday,دوشنبه
138,"2,268,563","2,264,678","2,268,779","2,264,917",5172,0.23%,2024-04-30,1403/02/11,Tuesday,سه‌شنبه
139,"2,265,343","2,259,710","2,266,320","2,259,745",20647,0.92%,2024-05-04,1403/02/15,Saturday,شنبه
140,"2,259,195","2,239,096","2,259,195","2,239,098",7674,0.34%,2024-05-05,1403/02/16,Sunday,یکشنبه
141,"2,239,225","2,231,413","2,239,525","2,231,424",12332,0.56%,2024-05-06,1403/02/17,Monday,دوشنبه
142,"2,231,356","2,219,092","2,231,356","2,219,092",10808,0.49%,2024-05-07,1403/02/18,Tuesday,سه‌شنبه
143,"2,219,359","2,208,244","2,219,593","2,208,284",15113,0.69%,2024-05-10,1403/02/21,Friday,جمعه
144,"2,208,613","2,193,171","2,208,711","2,193,171",31749,1.47%,2024-05-11,1403/02/22,Saturday,شنبه
145,"2,193,082","2,160,779","2,193,082","2,161,422",4151,0.19%,2024-05-12,1403/02/23,Sunday,یکشنبه
146,"2,162,210","2,162,210","2,173,845","2,165,573",881,0.04%,2024-05-13,1403/02/24,Monday,دوشنبه
147,"2,165,990","2,159,162","2,166,385","2,164,692",3984,0.18%,2024-05-14,1403/02/25,Tuesday,سه‌شنبه
148,"2,166,805","2,166,805","2,174,955","2,168,676",56116,2.66%,2024-05-17,1403/02/28,Friday,جمعه
