,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali
2689,"24,089,000","24,079,000","24,192,000","24,130,000",39000,0.16%,2023/11/12,1402/08/21
2690,"24,132,000","24,056,000","24,225,000","24,169,000",53000,0.22%,2023/11/13,1402/08/22
2691,"24,181,000","24,165,000","24,379,000","24,222,000",24000,0.1%,2023/11/14,1402/08/23
2692,"24,250,000","24,149,000","24,303,000","24,246,000",94000,0.39%,2023/11/15,1402/08/24
2693,"24,229,000","24,165,000","24,472,000","24,340,000",99000,0.41%,2023/11/17,1402/08/26
2694,"24,326,000","24,209,000","24,361,000","24,241,000",210000,0.87%,2023/11/18,1402/08/27
2695,"24,232,000","23,876,000","24,232,000","24,031,000",191000,0.79%,2023/11/19,1402/08/28
2696,"23,927,000","23,927,000","24,280,000","24,222,000",78000,0.32%,2023/11/20,1402/08/29
2697,"24,216,000","24,135,000","24,303,000","24,144,000",78000,0.32%,2023/11/21,1402/08/30
2698,"24,155,000","24,142,000","24,276,000","24,222,000",289000,1.19%,2023/11/22,1402/09/01
2699,"24,287,000","24,276,000","24,601,000","24,511,000",104000,0.43%,2023/11/24,1402/09/03
2700,"24,518,000","24,352,000","24,553,000","24,407,000",30000,0.12%,2023/11/25,1402/09/04
2701,"24,393,000","24,363,000","24,460,000","24,377,000",198900,0.82%,2023/11/26,1402/09/05
2702,"24,538,100","24,047,300","24,922,400","24,575,900",175100,0.71%,2023/11/27,1402/09/06
2703,"24,566,000","24,560,000","24,816,000","24,751,000",39000,0.16%,2023/11/28,1402/09/07
2704,"24,767,000","24,758,000","24,934,000","24,790,000",464000,1.87%,2023/11/29,1402/09/08
2705,"25,058,000","25,051,000","25,312,000","25,254,000",18000,0.07%,2023/12/01,1402/09/10
2706,"25,284,000","25,139,000","25,312,000","25,236,000",307000,1.23%,2023/12/02,1402/09/11
2707,"25,312,000","24,869,000","25,351,000","24,929,000",25000,0.1%,2023/12/03,1402/09/12
2708,"24,853,000","24,740,000","24,964,000","24,954,000",281000,1.14%,2023/12/04,1402/09/13
2709,"24,947,000","24,509,000","24,947,000","24,673,000",83000,0.34%,2023/12/05,1402/09/14
2710,"24,617,000","24,603,000","24,772,000","24,756,000",243000,0.99%,2023/12/06,1402/09/15
2711,"24,751,000","24,439,000","24,751,000","24,513,000",28000,0.11%,2023/12/08,1402/09/17
2712,"24,509,000","24,493,000","24,587,000","24,541,000",159000,0.65%,2023/12/09,1402/09/18
2713,"24,539,000","24,363,000","24,553,000","24,382,000",62000,0.25%,2023/12/10,1402/09/19
2714,"24,375,000","24,370,000","24,573,000","24,444,000",49000,0.2%,2023/12/11,1402/09/20
2715,"24,453,000","24,400,000","24,523,000","24,493,000",330000,1.35%,2023/12/12,1402/09/21
2716,"24,499,000","24,421,000","24,885,000","24,823,000",254000,1.03%,2023/12/13,1402/09/22
2717,"24,435,000","24,435,000","24,670,000","24,569,000",93000,0.38%,2023/12/15,1402/09/24
2718,"24,606,000","24,453,000","24,608,000","24,476,000",67000,0.27%,2023/12/17,1402/09/26
2719,"24,481,000","24,400,000","24,562,000","24,543,000",33300,0.14%,2023/12/18,1402/09/27
2720,"24,526,000","24,302,800","24,979,300","24,576,300",61700,0.25%,2023/12/19,1402/09/28
2721,"24,543,000","24,421,000","24,696,000","24,638,000",245000,0.99%,2023/12/20,1402/09/29
2722,"24,726,000","24,721,000","24,970,000","24,883,000",192000,0.78%,2023/12/22,1402/10/01
2723,"24,887,000","24,659,000","24,890,000","24,691,000",136000,0.55%,2023/12/23,1402/10/02
2724,"24,555,000","24,555,000","24,555,000","24,555,000",210000,0.86%,2023/12/24,1402/10/03
2725,"24,788,000","24,753,000","24,982,000","24,765,000",295000,1.19%,2023/12/25,1402/10/04
2726,"24,756,000","24,756,000","25,084,000","25,060,000",41000,0.16%,2023/12/26,1402/10/05
2727,"25,067,000","25,003,000","25,109,000","25,019,000",136000,0.54%,2023/12/27,1402/10/06
2728,"25,024,000","25,024,000","25,201,000","25,155,000",106000,0.42%,2023/12/29,1402/10/08
2729,"25,208,000","25,012,000","25,217,000","25,049,000",203000,0.81%,2023/12/30,1402/10/09
2730,"25,047,000","25,047,000","25,264,000","25,252,000",199000,0.79%,2023/12/31,1402/10/10
2731,"25,243,000","25,243,000","25,527,000","25,451,000",53000,0.21%,2024/01/01,1402/10/11
2732,"25,446,000","25,344,000","25,582,000","25,504,000",143000,0.56%,2024/01/02,1402/10/12
2733,"25,624,000","25,608,000","25,820,000","25,647,000",30000,0.12%,2024/01/03,1402/10/13
2734,"25,624,000","25,416,000","25,707,000","25,677,000",143000,0.56%,2024/01/05,1402/10/15
2735,"25,691,000","25,617,000","25,882,000","25,820,000",162000,0.63%,2024/01/06,1402/10/16
2736,"25,825,000","25,559,000","25,887,000","25,658,000",289000,1.13%,2024/01/07,1402/10/17
2737,"25,663,000","25,640,000","25,956,000","25,947,000",139000,0.54%,2024/01/08,1402/10/18
2738,"25,952,000","25,896,000","26,118,000","26,086,000",53000,0.2%,2024/01/09,1402/10/19
2739,"26,074,000","26,049,000","26,196,000","26,139,000",782000,2.99%,2024/01/10,1402/10/20
2740,"26,367,000","26,314,000","26,981,000","26,921,000",369000,1.39%,2024/01/12,1402/10/22
2741,"26,917,000","26,462,000","27,263,000","26,552,000",25000,0.09%,2024/01/13,1402/10/23
2742,"26,563,000","26,430,000","26,670,000","26,577,000",160000,0.6%,2024/01/14,1402/10/24
2743,"26,575,000","26,559,000","26,921,000","26,737,000",360000,1.35%,2024/01/15,1402/10/25
2744,"26,774,000","26,540,000","27,224,000","27,097,000",153000,0.57%,2024/01/16,1402/10/26
2745,"27,011,000","26,889,000","27,154,000","26,944,000",349000,1.3%,2024/01/17,1402/10/27
2746,"26,956,000","26,716,000","27,305,000","27,293,000",72000,0.26%,2024/01/19,1402/10/29
2747,"27,249,000","27,011,000","27,522,000","27,221,000",113000,0.42%,2024/01/20,1402/10/30
2748,"27,041,000","26,958,000","27,224,000","27,108,000",208000,0.77%,2024/01/21,1402/11/01
2749,"27,083,000","27,071,000","27,318,000","27,316,000",212000,0.78%,2024/01/22,1402/11/02
2750,"27,508,000","27,429,000","27,690,000","27,528,000",520000,1.89%,2024/01/23,1402/11/03
2751,"27,522,000","27,522,000","28,136,000","28,048,000",76000,0.27%,2024/01/26,1402/11/06
2752,"28,043,000","27,824,000","28,136,000","27,972,000",1119000,4%,2024/01/27,1402/11/07
2753,"27,965,000","27,953,000","29,232,000","29,091,000",17000,0.06%,2024/01/28,1402/11/08
2754,"29,096,000","27,595,000","29,869,000","29,108,000",266000,0.92%,2024/01/29,1402/11/09
2755,"27,972,000","27,965,000","29,579,000","28,842,000",902500,3.23%,2024/01/30,1402/11/10
2756,"28,711,200","27,674,000","29,256,700","27,939,500",124500,0.45%,2024/01/31,1402/11/11
2757,"28,849,000","27,757,000","28,976,000","27,815,000",268000,0.97%,2024/02/02,1402/11/13
2758,"27,999,000","27,284,000","28,034,000","27,547,000",81000,0.29%,2024/02/03,1402/11/14
2759,"27,510,000","26,231,000","27,755,000","27,628,000",59900,0.22%,2024/02/04,1402/11/15
2760,"27,526,100","27,088,400","28,122,600","27,687,900",194100,0.7%,2024/02/05,1402/11/16
2761,"27,618,000","27,399,000","27,962,000","27,882,000",347000,1.26%,2024/02/06,1402/11/17
2762,"27,838,000","27,145,000","27,847,000","27,535,000",41000,0.15%,2024/02/09,1402/11/20
2763,"27,542,000","27,475,000","27,840,000","27,494,000",65000,0.24%,2024/02/11,1402/11/22
2764,"27,492,000","27,374,000","27,683,000","27,429,000",146000,0.53%,2024/02/12,1402/11/23
2765,"27,445,000","27,376,000","27,575,000","27,575,000",191000,0.69%,2024/02/13,1402/11/24
2766,"27,568,000","27,510,000","27,801,000","27,766,000",289000,1.04%,2024/02/14,1402/11/25
2767,"27,732,000","27,722,000","28,066,000","28,055,000",113000,0.4%,2024/02/16,1402/11/27
2768,"28,041,000","28,011,000","28,461,000","28,168,000",76000,0.27%,2024/02/18,1402/11/29
2769,"28,226,000","27,863,000","28,309,000","27,990,000",280000,1%,2024/02/19,1402/11/30
2770,"28,046,000","28,046,000","28,309,000","28,270,000",143000,0.51%,2024/02/20,1402/12/01
2771,"28,260,000","28,260,000","28,505,000","28,413,000",228000,0.8%,2024/02/21,1402/12/02
2772,"28,325,000","28,323,000","28,771,000","28,641,000",130000,0.45%,2024/02/23,1402/12/04
2773,"28,637,000","28,618,000","28,826,000","28,771,000",337000,1.17%,2024/02/25,1402/12/06
2774,"28,757,000","28,757,000","29,209,000","29,108,000",120000,0.41%,2024/02/26,1402/12/07
2775,"29,177,000","28,831,000","29,230,000","28,988,000",13000,0.04%,2024/02/27,1402/12/08
2776,"28,990,000","28,937,000","29,082,000","29,001,000",901000,3.11%,2024/02/28,1402/12/09
2777,"28,994,000","28,994,000","30,262,000","29,902,000",30000,0.1%,2024/03/01,1402/12/11
2778,"29,899,000","29,662,000","29,959,000","29,872,000",1198000,4.01%,2024/03/02,1402/12/12
2779,"29,881,000","29,881,000","31,359,000","31,070,000",575000,1.85%,2024/03/03,1402/12/13
2780,"30,429,100","29,790,000","32,163,900","31,645,000",247000,0.78%,2024/03/04,1402/12/14
2781,"31,079,000","31,070,000","32,051,000","31,892,000",9200,0.03%,2024/03/05,1402/12/15
2782,"31,162,000","30,946,900","32,090,000","31,882,800",373800,1.19%,2024/03/06,1402/12/16
2783,"31,899,000","31,442,000","32,176,000","31,509,000",598000,1.93%,2024/03/08,1402/12/18
2784,"31,379,000","30,756,000","31,405,000","30,911,000",401000,1.3%,2024/03/09,1402/12/19
2785,"31,015,000","30,901,000","31,522,000","31,312,000",378000,1.22%,2024/03/10,1402/12/20
