,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
9364,"1,209.1600","1,200.75","1,239.9000","1,232.3500",4.16,0.34%,2016-02-18,1394/11/29,Thursday,پنج‌شنبه
9365,"1,233.1200","1,219.7900","1,234.7900","1,228.1899",19.45,1.61%,2016-02-19,1394/11/30,Friday,جمعه
9366,"1,226.1400","1,202.0200","1,226.3500","1,208.7400",18.72,1.55%,2016-02-22,1394/12/03,Monday,دوشنبه
9367,"1,208.7600","1,207.2000","1,227.5601","1,227.4600",1.89,0.15%,2016-02-23,1394/12/04,Tuesday,سه‌شنبه
9368,"1,227.3900","1,221.9301","1,253.3000","1,229.3500",5.29,0.43%,2016-02-24,1394/12/05,Wednesday,چهارشنبه
9369,"1,229.4399","1,221.1801","1,243.0900","1,234.6400",12.04,0.98%,2016-02-25,1394/12/06,Thursday,پنج‌شنبه
9370,"1,234.4399","1,211.5900","1,240.0500","1,222.6000",15.54,1.27%,2016-02-26,1394/12/07,Friday,جمعه
9371,"1,222.7300","1,217.9800","1,241.2900","1,238.1400",5.88,0.48%,2016-02-29,1394/12/10,Monday,دوشنبه
9372,"1,238.1899","1,227.4399","1,249","1,232.2600",8.04,0.65%,2016-03-01,1394/12/11,Tuesday,سه‌شنبه
9373,"1,232.3500","1,224.4800","1,244.2900","1,240.3000",23.3899,1.89%,2016-03-02,1394/12/12,Wednesday,چهارشنبه
9374,"1,240.3000","1,237.3400","1,267.4399","1,263.6899",4.25,0.34%,2016-03-03,1394/12/13,Thursday,پنج‌شنبه
9375,"1,263.8900","1,250.2900","1,279.9800","1,259.4399",7.9501,0.63%,2016-03-04,1394/12/14,Friday,جمعه
9376,"1,259.4800","1,256.6801","1,273.2900","1,267.3900",6.29,0.5%,2016-03-07,1394/12/17,Monday,دوشنبه
9377,"1,267.4900","1,260.0400","1,278.1899","1,261.1000",8.16,0.65%,2016-03-08,1394/12/18,Tuesday,سه‌شنبه
9378,"1,261.3000","1,243.8700","1,264.9900","1,252.9399",18.5,1.48%,2016-03-09,1394/12/19,Wednesday,چهارشنبه
